SPRINGBOK SCAFFOLDING AND AMP; PLANT HIRE;113157218;splant@telkomsa.net
A&C RENOVATION & DESIGNING;719141250;aaronchihoko@ymail.com;
IMPERIAL SIGNS;219482961;imperials@absamail.co.za;
BROMO CONSTRUCTION CC;217059471;;
VENCO ENGINEERING;137552009;;
SB NCALANE CONSTRUCTION;721076229;;
COOPERATIVA MURATORI & CEMENTISTI;115528614;;
DSC-ZENDON CC;118947527;info@zendon.co.za;
SCG CONSTRUCTION CC;393112717;info@scgcon.co.za;
MICHELLES OFFICE DESIGN & INTERIORS;832286062;michelle@modesign.co.za;
TELESAQA STEELWORKS ENGINEERING CC;184691367;sanelmonane@gmail.com;
NEETHLING GROUP KONSTRUKSIE;236163588;ngstaal@lando.co.za;
E & D SHUMBA CONSTRUCTION AND PROJECTS;787248306;shumbaprojects@gmail.com;
STOBEL WAREHOUSING & DISTRIBUTION;317003633;dwayn@stobel.co.za;
ELEGANT DESIGNS INVESTMENT (PTY) LTD;114930520;helen@elegantdesign.co.za;
BLACK KNIGHT INTERNATIONAL (PTY) LTD;216715159;;
DEEBO CONSTRUCTION & PROJECTS (PTY) LTD;317017254;;
MZILANKATHA AMANDLA CONSTRUCTION;764036622;sibongile@mzilankatha.co.za;
POLYMER PAVEMENTS CC;118681181;jessie@polyroads.com;
HALIFAX ENGINEERING;118242931;belaraul@telkomsa.net;
TOLCON GROUP (PTY) LTD;114539422;info@tolcon.co.za;
RAKASTEEL;731919733;Info@rakasteel.co.za;
G F LOUW ENGINEERING;116096109;richard@gflouw.co.za;
BANDAG SOUTHERN AFRICA;114396000;info@bandag.co.za;
OFS FORKLIFTS;514482179;forklift@myisp.co.za;
ORIGIN CONSULTING LABOUR BROKERS;116754268;marius@labourbroker.co.za;
STAC CONSULTING ENGINEERS (PTY) LTD;219130616;info@stac.co.za;
H M PLANT HIRE;154911702;hmplanthire@gmail.com;
AVIGSTIC SERVICES;125477954;;
MINE RAIL SYSTEMS;184627161;;
CIV TECH CONSTRUCTION CC;317051991;;
ESSEE PLASTICS CC;145655166;info@esseeplastic.co.za;
DITIRO-TSAKA TRADING & PROJECTS;123231704;dbongani@mweb.co.za;
TAU PELE CONSTRUCTION (PTY) LTD;136651867;;
DEVIN INTERIORS CC;118026224;;
AGRINUT COMMODITIES SA;116646325;;
LETHUMBUSO TRADING ENTERPRISE;136560421;;
MAJAPS CC;582561278;;
VAN TANK (PTY) LTD;355801143;;
MILKOR SPECIAL PRODUCT (PTY) LTD;123330032;;
INTERPRONET CONSTRUCTION & CONSULTANTS;113340890;;
INKONJANE DEVELOPMENTS (PTY) LTD;338110178;inkonjane@inkonjane.co.za;
PR HOMES CC;218527158;info@prhomes.co.za;
KIEWIETS CONSTRUCTION;443850009;;
JEL - POWER TRADING AND PROJECTS;784473061;jelpowertp@gmail.com;
LISA SJADU (PTY) LTD;737880952;pncikanaa@gmail.com;
BANTUNGWA TRADING;827625931;bantungwa@webmail.co.za;
UNIVERSAL EQUIPMENT;414531810;kasmira@universalequipment.co.za;
MICRISH POWER ELECTRICAL BUILDING PROJECTS (PTY) LTD;116144758;micrishproject@gmail.com;
TWO P'S IN A POD LANDSCAPING;317657044;plloydwarren@gmail.com;
MAKATHINI PROJECTS;312074778;info@makathini.co.za;
MOSWOBI BUILDING CONSTRUCTION & PROPERTY DEVELOPERS;155165505;suku.invest@gmail.com;
ESSEE PLASTICS CC;145655166;info@esseeplastic.co.za;
DITIRO-TSAKA TRADING & PROJECTS;123231704;dbongani@mweb.co.za;
GIB AND ELTON TRADING AND PROJECTS;734384815;gibson.motlhatlhana@gmail.com;
VIP CONSTRUCTION CC;763994596;;
JAI-PAL ENGINEERING CC;216339130;;
ELMANDI ROAD MAINTENANCE CC;125672224;;
RAILCO;163421958;;
FOTIOS CONSTRUCTION CC;118133906;;
KHULISA FRAMEWORK CC;217892070;;
R LOUW CONSTRUCTIONS;727804581;;
SUIKERBOS RAND ENGINEERING;163421303;;
JOMARICA;155162383;jomarica@mailus.co.za;
VELA VKE CONSULTING ENGINEERS (PTY) LTD;337012740;;
WOLF STEEL ERECTION (PTY) LTD;113632515;;
WARMBATHS GOLF CONSTRUCTION;147366342;;
ACHIM STEEL WORKS PRIMARY CO-OPERATIVE LTD;113825000;;
STEVE DUBE CONSTRUCTION;738476074;;
WIRTGEN SA (PTY) LTD;114521838;;
BESTMADE FOUR;110517496;;
LIMPOPO ROAD BINDERS & CONSTRUCTION CC;153074923;;
TEAM SEBENZA CONSTRUCTION;219319852;;
INDUSTRIAL POWER PRODUCTS;418116660;info@mjss.co.za;
VINO BUILDING CONSTRUCTION & MULTI PROJECTS;113911648;vinoprojects@gmail.com;
ALCHRIS CONSTRUCTION & HANDYMAN;396845338;alchris@telkomsa.net;
DOWN LOW CONSTRUCTION;722830911;downlowconstruction.plumbing@webmail.co.za;
LANGA ELISHA CONSTRUCTION & PROJECT SERVICES (PTY) LTD;110761118;info@langelisha.co.za;
XCMG AFRICA;112301900;martin@globalgroups.org;
F B K TRADING ENTERPRISE;219342973;fbktrading@gmail.com;
TELESET DESIGN & MANUFACTURERS;114473321;office@teleset.co.za;
AVENG RAIL;118986800;enquiries@lennings.co.za;
AERATED CEMENT PRODUCTS CC;187862170;hcp@ananzi.co.za;
P J FERREIRA CONSTRUCTION;422472550;terius.ferreira@gmail.com;
LULAMA WOMEN INVESTMENT CC;152915023;reiny@mweb.co.za;
COPPER LEAF INDUSTRIES;861747748;libertas2012@ymail.com;
ROADSPAN SURFACES (PTY) LTD;115528511;jimmy@roadspan.co.za;
MURRAY & ROBERTS CONSTRUCTIONS;128020595;;
QUOIN CONSTRUCTION (PTY) LTD;114647145;;
INKONJANE DEVELOPMENTS (PTY) LTD;338110178;inkonjane@inkonjane.co.za;
PR HOMES CC;218527158;info@prhomes.co.za;
LLG'S BUILDING SERVICES;215541823;;
GROUP FIVE COASTAL (PTY) LTD;315690300;oil&gas@groupfive.co.za;
AREND KONSTRUKSIE;287221339;;
PUR?N JEREMY BOUERS;828722801;admin@purenbouers.co.za;
M A KHARAFI CONSTRUCTION (PTY) LTD;123425213;wafaa@kharafi.co.za;
ABITER CIVIL ENGINEERS;113465022;;
MBHAHLENI TRADING;153073991;mbhahleni@telkomsa.net;
CONSTRUCTION DIAL A HIRE;119733733;dialahire@mweb.co.za;
BOBCAT EQUIPMENT SA;317006906;bobcat@goscor.co.za;
GUNNITE INTERNATIONAL;118732750;gunite@global.co.za;
MASTER BUILDERS ASSOCIATION (WEST COAST);227722251;mbaweskus@cwmail.co.za;
COMPONENT STRUCTURES (PTY) LTD;114522036;admin@componentgroup.co.za;
R M RENOVATORS & ALUMINIUM;137554008;righard@rmrenovators.co.za;
PHALAMVU TRADING & PROJECT;317001686;;
D MARKS CONSTRUCTION;224923060;;
BADENHORST CONSTRUCTION;119145564;;
HD WALSH CONSTRUCTION CC;118882286;;
GIURICICH BROTHER (PTY) LTD;118233658;;
LUSASA CONSTRUCTION (PTY) LTD;285141197;;
BIRD CONSTRUCTION (PTY) LTD;128037140;;
ALCHRIS CONSTRUCTION & HANDYMAN;396845338;alchris@telkomsa.net;
DOWN LOW CONSTRUCTION;722830911;downlowconstruction.plumbing@webmail.co.za;
LANGA ELISHA CONSTRUCTION & PROJECT SERVICES (PTY) LTD;110761118;info@langelisha.co.za;
XCMG AFRICA;112301900;martin@globalgroups.org;
F B K TRADING ENTERPRISE;219342973;fbktrading@gmail.com;
TELESET DESIGN & MANUFACTURERS;114473321;office@teleset.co.za;
AVENG RAIL;118986800;enquiries@lennings.co.za;
AERATED CEMENT PRODUCTS CC;187862170;hcp@ananzi.co.za;
P J FERREIRA CONSTRUCTION;422472550;terius.ferreira@gmail.com;
LULAMA WOMEN INVESTMENT CC;152915023;reiny@mweb.co.za;
BERGSTAN AFRICA;214220921;bergstan@lasimanco.co.za;
M P TYRES CC;132824555;mptyres@lantic.net;
PAUL ELECTRICAL;116142843;;
TORO YA AFRICA;145927167;rustenburg@toroyaafrica.com;
LAVENDER MOON;215349631;rylandsali@gmail.com;
CELTIS PROJECTS;826357088;herman@celtisandscaping.co.za;
KUSENI PLANT HIRE;716702418;admin@kuseni.com;
HOUTMAN PETER CONSTRUCTION;415859665;phoutman@mweb.co.za;
KYLELIN CONSTRUCTION;799877934;ddupreez@reddoor.co.za;
JACO GROENEWALD ELEKTRIES BK;218593529;accounts@jgelectrical.co.za;
PHELISA CONSULTING (PTY) LTD;317910666;info@phelisa.com;
ETHEKWENI GUNITING SERVICES;318252034;ethekweniguniting@live.co.za;
MELLON HOUSING INITIATIVE;219072760;gary@mellonhousing.co.za;
RAMATHE MJ INC;176315998;ramathelaw@secunda.co.za;
STEELPACT (PTY) LTD;835034302;frikatp@gmail.com;
STILFONTEIN STAAL & KONSTRUKSIE BK;184846794;;
AMATHOLE ESIZWE TRADING ENTERPRISE;738415081;;
ULAMBRICK CONSTRUCTION;829566541;;
VULIGLO (PTY) LTD;333302804;;
COSINE DEVELOPMENTS;315792175;;
RABIE NAUDE INGENIEURSWERKE;219811843;;
KEW MAINTENANCE;393157142;;
MEDOWEN FLOORS (PTY) LTD;118803009;benj@medowen.co.za;
PROP 5 CORP (PTY) LTD;114634537;;
ASIZABANTLE TRADING;119064546;ian@asizabantu.co.za;
LAFARGE INDUSTRIES SA (PTY) LTD;448781578;;
MLOKOTHWA CONSTUCTION & MANAGEMENT SERVICES CC;119797135;;
KENTZ (PTY) LTD;112039600;contactmidrand@kentz.com;
UMBUSA CIVILS & CONSTRUCTION;217618035;info@umbusa.co.za;
MAWELE ENGENEERING;118454032;;
GC CIVILS & CONSTRUCTION CC;315691701;;
QS AFRICA QUANTITY SURVEYORS & CONSTRUCTION CONSULTANTS;184681156;hl@qsafrica.com;
HILL GREYLING BUILDING CONSTRUCTION CC;218554316;;
INYATSI CONSTRUCTION SA;119774600;info@inyatsi.co.za;
COMET CONSTRUCTION CONTRACTORS BK;125422774;;
URBAN CONSTRUCTION (PTY) LTD;128075373;;
CRUX ENGINEERING;118737154;;
MASSICETI CONSTRUCTION;114478140;;
IVAN VENTER CONSTRUCTION (PTY) LTD;848004056;;
VALAD CONSTRUCTION (PTY) LTD;317646001;;
IMPULS KONSTRUKSIE BK;184624217;;
WIEGIE'S KONTRAKTEURS;764655511;;
ABITER CIVIL ENGINEERS;113465022;;
MBHAHLENI TRADING;153073991;mbhahleni@telkomsa.net;
CONSTRUCTION DIAL A HIRE;119733733;dialahire@mweb.co.za;
BOBCAT EQUIPMENT SA;317006906;bobcat@goscor.co.za;
GUNNITE INTERNATIONAL;118732750;gunite@global.co.za;
MASTER BUILDERS ASSOCIATION (WEST COAST);227722251;mbaweskus@cwmail.co.za;
COMPONENT STRUCTURES (PTY) LTD;114522036;admin@componentgroup.co.za;
R M RENOVATORS & ALUMINIUM;137554008;righard@rmrenovators.co.za;
ESSEE PLASTICS CC;145655166;info@esseeplastic.co.za;
DITIRO-TSAKA TRADING & PROJECTS;123231704;dbongani@mweb.co.za;
GIB AND ELTON TRADING AND PROJECTS;734384815;gibson.motlhatlhana@gmail.com;
AZTEC ROAD SERVICES (PTY) LTD;860333863;mashudu@aztecroad.co.za;
IMPALA ELECTRIC;117409886;;
LOBI CONSTRUCTION ENTERPRISE;843457887;phillimonlobi569@gmail.com;
BEAP CONSTRUCTION CC;218423920;grant@beapgroup.co.za;
MORETENG INVESTMENTS;127713451;;
KWELERA EQUIPMENT HIRE;839694847;;
ARCHSTONE CONSTRUCTION (PTY) LTD;123463491;;
BASTION CONSTRUCTION;117947541;;
KWELAMUSA NETWORK;317010362;;
KGM PLANT HIRE & CONSTRUCTION;158124189;mathonsit@gmail.com;
C S E EQUIPMENT;119222000;info@cse.co.za;
MBALI INDUSTRIAL SOLUTIONS;118681792;mbalisolutions@telkomsa.net;
NORTH COAST ROOFING;329448568;northcoastroof@telkomsa.net;
XMN PROMOTIONS;437413089;ntsikam@live.com;
SIKA SOUTH AFRICA (PTY) LTD;414532813;ecape@za.sika.com;
FIRST LAW CONSTRUCTION & PROJECTS;781586325;kopangj@yahoo.com;
T M K CONSTRUCTION & RENOVATION SERVICES;619395422;joeypop8@gmail.com;
COME CLOSER CONSTRUCTION & PROJECT;537741382;reetsangditebogo@yahoo.com;
MITCHELL;219487568;info@procutusa.com;
EQSTRA FLEET SERVICES;119778000;;
UPSIDE CIVILS (PTY) LTD;219148200;peter@pmconstruction.co.za;
GRID LINE CONSTRUCTION (PTY) LTD;114360340;ellen@gridline.co.za;
SWARTBERG MOTORS;234143231;;
DDE;113976493;;
MWELASE & ASSOCIATES ENGINEERS;358701274;;
TRUSS MECCA;587136908;;
KHALANGA ENGINEERING PROJECTS;113976566;brenda@khalangaeng.co.za;
T & J CONSTRUCTION SERVICES;837543672;tjconstructionservices@yahoo.com;
DARWIN POOL & OUTDOOR;214476755;mpspools@telkomsa.co.za;
NEBULA GROUP;413609742;info@nebulagroup.co.za;
M R S GETS B & B;317016060;daisy@mrsgetsbnb.co.za;
P & E ARTISANS;534562394;peartisan@gmail.com;
K Z N STEEL STRUCTURES;317771211;sales@kznstructures.co.za;
FOUNTAIN CIVIL ENGINEERING (PTY) LTD;537231542;duanem@fountain.co.za;
BETHU BETHU CONSTRUCTION (PTY) LTD;760363569;;
QUINTEN'S GARDEN SERVICES;437404590;;
ARNDT BUILDING CONSULTING CC;124607356;;
COMMUNICATE PERSONNEL RECRUITMENT;123482960;;
N J R STEEL TRADING (PTY) LTD;117321511;jswift@njrsteel.co.za;
BIDVEST AFCOM;116277000;info@bidvestafcom.co.za;
DUFERCO STEEL PROCESSING (PTY) LTD;227097000;;
NJR STEEL REINFORCING (PTY) LTD;114629862;rebar@njrsteel.co.za;
AFFIRMATIVE PORTFOLIOS;333943539;customerservice@affirm.co.za;
CHEMROTECH POWER INDUSTRIES;184691383;chemrotech@mweb.co.za;
INGERSOLL RAND CO SA (PTY) LTD;860247000;info_sa@irco.co.za;
RACING HART CONCEPTS (PTY) LTD;118321174;info@rhc.co.za;
TALISMAN HIRE;272131358;vredendal@talisman.co.za;
D M V CONSULTANTS;586222676;admin@dmvconsultants.co.za;
QUICK PLUMBERS ON CALL;118928006;quickplumbersoncall@yahoo.co.za;
BMA ELECTRICAL SERVICES;118279393;jannitaw@worldonline.co.za;
STANDERTON DELTA;177192156;info@eastvaalmotors.co.za;
DOKUGESI ELECTRICAL CC;132438191;admin@dokugesi.co.za;
S M V CIVIL ENGINEERS;183811138;adolphus@smv.co.za;
TURNER MORRIS (PTY) LTD;123260970;ptasales@turnermorris.co.za;
TURTLE BAY RESTAURANT;333471733;info@newworldpersonnel.co.za;
MABITLA TRADING CC;828379359;ernest@mabitlatrading.co.za;
TEAMWORK CIVILS CONSTRUCTION;789833956;mapas@vodamail.co.za;
MAWENZOKUHLE TRADING ENTERPRISE (PTY) LTD;319082345;snavarito@gmail.com;
TEMBE TIMBERS ENTERPRISES;355920306;russeltembe@gmail.com;
BO MHLONGO CIVILS;333426000;admin@bomhlongocivils.co.za;
ISANGCOZI ENGINEERING SERVICES;739907223;sifikelliot@gmail.com;
ROOF ROOM DESIGNER ATTICS CC;215107866;info@roofroom.co.za;
INKONJANE DEVELOPMENTS (PTY) LTD;338110178;inkonjane@inkonjane.co.za;
PR HOMES CC;218527158;info@prhomes.co.za;
LLG'S BUILDING SERVICES;215541823;;
GROUP FIVE COASTAL (PTY) LTD;315690300;oil&gas@groupfive.co.za;
KIEWIETS CONSTRUCTION;443850009;;
JEL - POWER TRADING AND PROJECTS;784473061;jelpowertp@gmail.com;
LISA SJADU (PTY) LTD;737880952;pncikanaa@gmail.com;
BANTUNGWA TRADING;827625931;bantungwa@webmail.co.za;
UNIVERSAL EQUIPMENT;414531810;kasmira@universalequipment.co.za;
JUNONIX (PTY) LTD;219340373;chris@mccsa.co.za;
TANEGAN ARCHITECTURAL & BUILDING;219399029;tanegan@mweb.co.za;
AFRICAN FOOTPRINT CONSTRUCTION;216744706;;
SETSHELO CONSTRUCTION;727355250;setshelo.construction@gmail.com;
ENM TRADING CC;588521343;;
MITCHELL;219487568;info@procutusa.com;
TRUSLER CONSTRUCTION;333302336;;
NTABENI BUILDING CONSTRUCTION CC;394332478;;
MARIPANA'S BUSINESS ENTERPRISE;152976728;;
AMALGAMATED PRECAST CC;437451386;;
ALPHA TIMBER CONSTRUCTION CC;832565775;;
SANBENDRA WONINGS BK;126533672;;
TRIPLE T CONSTRUCTION CC;315397054;;
CONCOR HOLDINGS (PTY) LTD;214264342;;
BRUWER;583031645;;
QOPHE CONSTRUCTION CC;515226389;;
J LIEBENBERG CONSTRUCTION (PTY) LTD;129984189;;
SIKA SOUTH AFRICA (PTY) LTD;414532813;ecape@za.sika.com;
FIRST LAW CONSTRUCTION & PROJECTS;781586325;kopangj@yahoo.com;
T M K CONSTRUCTION & RENOVATION SERVICES;619395422;joeypop8@gmail.com;
COME CLOSER CONSTRUCTION & PROJECT;537741382;reetsangditebogo@yahoo.com;
ROBERTSE;823535569;okkievbsteel@webmail.co.za;
FERLINE CONSTRUCTION CC;217012132;marianeclark62@gmail.com;
ROYAL EAGLE CLEANING SERVICES;218382705;royaleagleservices7@gmail.com;
F & M SALVAGE CONTRACTORS CC;333860074;fmsalvagecontractors@telkomsa.net;
PROFICA PROJECT MANAGEMENT (PTY) LTD;112345828;info@profica.co.za;
JUNONIX (PTY) LTD;219340373;chris@mccsa.co.za;
TANEGAN ARCHITECTURAL & BUILDING;219399029;tanegan@mweb.co.za;
AFRICAN FOOTPRINT CONSTRUCTION;216744706;;
SETSHELO CONSTRUCTION;727355250;setshelo.construction@gmail.com;
ENM TRADING CC;588521343;;
MITCHELL;219487568;info@procutusa.com;
MAGLIN HOME CONSTRUCTION CC;119759833;;
BREEDE VALLEY CONSTRUCTION;236261671;;
MOHLOHLOBE HOLDINGS (PTY) LTD;114350388;;
EXOSET D ZIGN;117087978;;
DELL CONSTRUCTION CC;119189400;;
RENT-EQUIP;317091555;;
ZINGISA CONSTRUCTION CC;414534938;;
ECO-CUBE;117861555;;
L & L EQUIPING SERVICES & MANUFACTURING CC;187863638;david.long@lando.co.za;
TIMEKEEPER TRADING;105905573;info@timekeeperholdings.co.za;
JOLUKA (PTY) LTD;113140795;sales@joluka.co.za;
BASTION CONSTRUCTION;117947541;;
KWELAMUSA NETWORK;317010362;;
KGM PLANT HIRE & CONSTRUCTION;158124189;mathonsit@gmail.com;
C S E EQUIPMENT;119222000;info@cse.co.za;
MBALI INDUSTRIAL SOLUTIONS;118681792;mbalisolutions@telkomsa.net;
ROAD & DRIVEWAY CONSTRUCTION;333910256;;
YAHWEN CONSTRUCTION;213700016;carmen.januarie@gmail.com;
J I C MINING SERVICES;115649400;general@jic.co.za;
PREPQUIP (PTY) LTD;119746585;prepquip@prepquip.com;
JDR RENOVATIONS;716108563;jan.myburgh1977@gmail.com;
CHRISTOPHER BEZUIDENHOUT SURVEYS GPS & LAND SURVEYS;227153059;chrisbsurveys@gmail.com;
TRIPLE DESIRE CONSTRUCTION;218802794;jeffrey@tripledesireprojects.co.za;
KRL PROPERTIES (PTY) LTD;215525866;info@krlproperties.co.za;
VAST SURE SERVICES (PTY) LTD;446910029;marius.vastsureservice@gmail.com;
TOP NOTCH;317057112;psgwala@topnotchccsa.com;
TECHNICAL FINISHES (PTY) LTD;118227242;alan@technicalfinishes.com;
PLUMB GUARANTEE (SOUTH CAPE);448740166;scape@plumbguarantee.co.za;
KGABO DEVELOPERS CC;152234808;admin@kgabodevelopers.co.za;
PHOLANI ASIYA TRADING & PROJECTS CC;446931842;mwnguta@gmail.com;
WESVOS ENGINEERING;227142688;admin@wesvos.co.za;
KRIEL PLUMBING & RENOVATIONS;219193104;;
WIA CONSTRUCTION;214476222;kgnzm@yahoo.com;
MOKOPANE TYRES;154911104;MOKOPANETYRES@gmail.com;
AERATED CEMENT PRODUCTS CC;187862170;hcp@ananzi.co.za;
ISA & PARTNERS CONSULTING ENGINEERS;514479710;infobfn@isapartners.co.za;
MELILIZWE CONSTRUCTION;419335582;christowendy@smss.co.za;
TRANSCAPE STEELS (PTY) LTD;272133195;johanw@transcape.co.za;
FOBROS CONSTRUCTION (PTY) LTD;315634323;;
A.P.M.I;152955913;;
ADVANCED ASPHALTING;219821081;sljones@telkomsa.net;
MATJHABENG SALES & SERVICES;573962100;;
METZGER CONSTRUCTION;117864862;metcon@global.co.za;
FERREIRA FABRICATIONS;118733758;ferreirafabrications@gmail.com;
FRANSCHOEK HIRING & SERVICING;218764123;onhireo@gmail.com;
JEL-POWER TRADING;784473061;jelpowertp@gmail.com;
CONCOR HOLDINGS (PTY) LTD;214264342;;
BRUWER;583031645;;
QOPHE CONSTRUCTION CC;515226389;;
J LIEBENBERG CONSTRUCTION (PTY) LTD;129984189;;
MOHLALA & MOKOENA BUSINESS ENTERPRISES CC;721968189;;
VELUNO TRADING PROJECTS;333459995;;
MITIRHO PROJECTS;169313345;;
LIFESTYLE CONSTRUCTION;314018047;;
J M G CONSTRUCTION (PTY) LTD;147364565;;
CYKEN CONSTRUCTION;437635086;;
JEP CONSTRUCTION CC;122510054;;
CONCRETE PROJECTS;317655146;;
KELSEY CONSTRUCTION CC;126538380;;
ROCK SHORE CONSTRUCTION;832919697;;
CONSTANT CONTRACTORS CC;312053878;;
LEWCON ENTERPRISES CC;437013900;;
ERICHSEN KONSTRUKSIE RSA BK;562133587;;
MELSANE CONSTRUCTION;417751673;;
MBINAZO CONSTRUCTION CC;132961260;;
GREEN INC;113273687;admin@greeninc.co.za;
CAPE TOWN FESTIVAL;214659042;info@capetownfestival.co.za;
ISA & PARTNERS CONSULTING ENGINEERS;514479710;infobfn@isapartners.co.za;
W E C CONSULT (EDMS) BPK;861111441;info@freedomhill.co.za;
SPAZA HARDWARE CC;118553328;spaza0@gmail.co.za;
NIMAG (PTY) LTD;145771330;info@nimaggroup.com;
MOREDI TRADING & PROJECTS;186421195;moreditrading@telkomsa.net;
ON TIME TRUSSES;163416625;bok@ontimetrusses.co.za;
DESIGNS & CONSTRUCTION BY RON;827228722;caddms@iafrica.com;
MALANI PADAYACHEE & ASSOCIATES (PTY) LTD;117819710;belinda@mpaconsulting.co.za;
EXPO SOLUTIONS;215105871;lynne@exposolutions.co.za;
SALES HIRE (PAARL);218626731;manie@saleshire.co.za;
PG GLASS (OUDTSHOORN);442792829;smartglassinfo@pg.co.za;
ISIDUBEDUBE ALUMINIUM BUILDING & MAINTENANCE;735888262;isidubedube@vodamail.co.za;
RAYDEN ENGINEERING;113425523;info@raydenengineering.com;
IZAZI MINING (PTY) LTD;136564330;joe@izazimining.co.za;
COASTAL BOBCAT HIRE;832325866;dmahabeer@vodamail.com;
WARRIOR CONSTRUCTION (PTY) LTD;219056130;info@warriorgroup.co.za;
BUILD PLUMB & TILE BLACKHEATH;826131417;bpt@iburst.co.za;
L & L EQUIPING SERVICES & MANUFACTURING CC;187863638;david.long@lando.co.za;
TIMEKEEPER TRADING;105905573;info@timekeeperholdings.co.za;
JOLUKA (PTY) LTD;113140795;sales@joluka.co.za;
BASTION CONSTRUCTION;117947541;;
KWELAMUSA NETWORK;317010362;;
KGM PLANT HIRE & CONSTRUCTION;158124189;mathonsit@gmail.com;
C S E EQUIPMENT;119222000;info@cse.co.za;
MBALI INDUSTRIAL SOLUTIONS;118681792;mbalisolutions@telkomsa.net;
ITALA PROJECTS;315649674;siripatjerome@gmail.com;
MOKOPANE READY MIX;150042525;leoreadymix@gmail.com;
CHA CONSTRUCTION CC;393113878;;
TUBATSE COMMODITIES (PTY) LTD;119078193;tubatsecomm@telkomsa.net;
FREE STYLE GARDENS;119668106;;
NORTH COAST ROOFING;329448568;northcoastroof@telkomsa.net;
KUSILEBAKITHI CONSTRUCTION;139861000;;
CONGOLE CONSTRUCTION CC;125620868;;
IRASSACK & SONS CONSTRUCTION;833950665;;
SIYAHLOBISA PROJECTS;861114808;;
HOFFMANN POWER PRODUCTS;514479618;;
DAVGRAM CONSTRUCTION CC;317656445;;
INNOVATIVE RENOVATOR;110366370;;
HOUSE & HOME PROJECTS & HARDWARE SUPPLIES;119725865;;
COOL IDEAS CONSTRUCTION CC;114745483;;
ARCHIEVEMEND CONSTRUCTION;110248963;;
EQUESTRA EQUIPMENT;317166377;gbenvie@nhconstruction.co.za;
UBAMBANO CONSTRUCTION CC;357974195;ubambano@zcbf.org.za;
ENLO CONSTRUCTION EQUIPMENT;827154231;ednalouis01@gmail.com;
ADAPA CONSTRUCTION PROJECTS;115042005;mikenqcobo77@gmail.com;
FRANSCHOEK HIRING & SERVICING;218764123;onhireo@gmail.com;
MENDALF CONSTRUCTION;724230491;mendalf@telkomsa.net;
TWIN CONNER CONSTRUCTION & PROJECTS 11;127516458;gunguwash@gmail.com;
COASTAL HIRE (PALABORWA);157930971;hoedspruit@coastalhire.co.za;
AMS CIVILS;219530060;ash8006@gmail.com;
BADIMO P CONSTRUCTION;113945679;abadimo@telkomsa.net;
SIZABANTU ROAD SERVICES;315021345;;
MOLA WA GODIMO CC;799022791;;
O'SHEA;333454569;;
VSA CIVIL ENGINEERING PROJECTS;119073215;vanstraten@worldonline.co.za;
A T H MAINTENANCE SERVICE;287351405;;
HANTAM DISTRIKSRAAD;237411018;;
ACTOP ROADS;119185210;;
FOUR WINDS CONSTRUCTION CC;217945552;;
M G R ENGINEERING;118653498;reinhardh@polka.co.za;
C M C DI RAVENNA SA;119733475;;
KISTEN CONSTRUCTION & GENERAL WOODWORK CC;176381265;;
OWEN PETERS CONSTRUCTION;397271792;;
HOUSE-IT;312670656;;
REINFORCING STEEL CONTRACTORS;514327738;;
S T A COAL MINING CO (PTY) LTD;178111924;info@stacoalmining.co.za;
JOHNSON PLANT HIRE & CIVILS;760533938;info@johnsonplanthire.co.za;
HY-JACK CAPE CC;215111961;hyjack@netactive.co.za;
5H CONSTRUCTION & MAINTENANCE;824675919;info@5h-cms.com;
VIJAY ORI & ASSOCIATES CC;325863192;vijori@iafrica.com;
LEONARD TRUCK & PLANT;749107111;sam29wood@gmail.com;
LIVING MATTER;828250982;info@livingmatter.co.za;
NDIKO ROAD MAINTENANCE;219060347;tumi2010@live.co.za;
WESIZWE PLATINUM LTD;119944600;info@wesizwe.co.za;
GREEN INC;113273687;admin@greeninc.co.za;
CAPE TOWN FESTIVAL;214659042;info@capetownfestival.co.za;
ISA & PARTNERS CONSULTING ENGINEERS;514479710;infobfn@isapartners.co.za;
W E C CONSULT (EDMS) BPK;861111441;info@freedomhill.co.za;
SPAZA HARDWARE CC;118553328;spaza0@gmail.co.za;
JUST SETS SA (PTY) LTD;118829347;justsets@justsets.co.za;
SIVEST SA (PTY) LTD;366376808;info@sivest.co.za;
SUBTECH (PTY) LTD;312062073;subtech@subtech.co.za;
L L N B STEEL (PTY) LTD;219053920;llnbsteel@gmail.com;
BOBCAT EQUIPMENT RENTAL SA;874050060;dmarais@bobcatsa.co.za;
POWI'S PROJECTS;743330142;powiolly.maka@gmail.com;
BRIDGEWOOD HARDWARE & BUILDERS SUPPLIERS;317021114;bridgewoodhardware@gmail.com;
WELGELEGEN PLUMBING;215589640;eddiejonesplumber@gmail.com;
BRITS ELEKTRIESE KONTRAKTEURS BK;122521775;willie@britselektries.co.za;
A100 ALUMINIUM GROUP;861225233;info@a100group.co.za;
ALL SHAPES BUILDERS;829698607;primo1@telkomsa.net;
OMOHLAKOKELE CONSTRUCTION;711105190;omohlakokelebuilding@gmail.com;
BAKOLOBENG PROJECTS AND SERVICES;122541321;mmngobeni@webmail.co.za;
THEO VAN NIEKERK & ASSOCIATES;114873467;info@tvna.co.za;
CUTTERS;215105131;sales@cutters.co.za;
MISTIQUE CONSTRUCTION;742637049;mistiqueconstruction@gmail.com;
